"1";"Toy Story";"1995";"114709";"862";"Adventure";"Animation";"Children";"Comedy";"Fantasy"
"2";"Jumanji";"1995";"113497";"8844";"Adventure";"Children";"Fantasy";"-";"-"
"3";"Grumpier Old Men";"1995";"113228";"15602";"Comedy";"Romance";"-";"-";"-"
"4";"Waiting to Exhale";"1995";"114885";"31357";"Comedy";"Drama";"Romance";"-";"-"
"5";"Father of the Bride Part II";"1995";"113041";"11862";"Comedy";"-";"-";"-";"-"
"6";"Heat";"1995";"113277";"949";"Action";"Crime";"Thriller";"-";"-"
"7";"Sabrina";"1995";"114319";"11860";"Comedy";"Romance";"-";"-";"-"
"8";"Tom and Huck";"1995";"112302";"45325";"Adventure";"Children";"-";"-";"-"
"9";"Sudden Death";"1995";"114576";"9091";"Action";"-";"-";"-";"-"
"10";"GoldenEye";"1995";"113189";"710";"Action";"Adventure";"Thriller";"-";"-"
"11";"The American President";"1995";"112346";"9087";"Comedy";"Drama";"Romance";"-";"-"
"12";"Dracula: Dead and Loving It";"1995";"112896";"12110";"Comedy";"Horror";"-";"-";"-"
"13";"Balto";"1995";"112453";"21032";"Adventure";"Animation";"Children";"-";"-"
"14";"Nixon";"1995";"113987";"10858";"Drama";"-";"-";"-";"-"
"15";"Cutthroat Island";"1995";"112760";"1408";"Action";"Adventure";"Romance";"-";"-"
"16";"Casino";"1995";"112641";"524";"Crime";"Drama";"-";"-";"-"
"17";"Sense and Sensibility";"1995";"114388";"4584";"Drama";"Romance";"-";"-";"-"
"18";"Four Rooms";"1995";"113101";"5";"Comedy";"-";"-";"-";"-"
"19";"Ace Ventura: When Nature Calls";"1995";"112281";"9273";"Comedy";"-";"-";"-";"-"
"20";"Money Train";"1995";"113845";"11517";"Action";"Comedy";"Crime";"Drama";"Thriller"
"21";"Get Shorty";"1995";"113161";"8012";"Comedy";"Crime";"Thriller";"-";"-"
"22";"Copycat";"1995";"112722";"1710";"Crime";"Drama";"Horror";"Mystery";"Thriller"
"23";"Assassins";"1995";"112401";"9691";"Action";"Crime";"Thriller";"-";"-"
"24";"Powder";"1995";"114168";"12665";"Drama";"Sci-Fi";"-";"-";"-"
"25";"Leaving Las Vegas";"1995";"113627";"451";"Drama";"Romance";"-";"-";"-"
"26";"Othello";"1995";"114057";"16420";"Drama";"-";"-";"-";"-"
"27";"Now and Then";"1995";"114011";"9263";"Children";"Drama";"-";"-";"-"
"28";"Persuasion";"1995";"114117";"17015";"Drama";"Romance";"-";"-";"-"
"29";"The City of Lost Children (Cité des enfants perdus, La)";"1995";"112682";"902";"Adventure";"Drama";"Fantasy";"Mystery";"Sci-Fi"
"30";"Shanghai Triad (Yao a yao yao dao waipo qiao)";"1995";"115012";"37557";"Crime";"Drama";"-";"-";"-"
"31";"Dangerous Minds";"1995";"112792";"9909";"Drama";"-";"-";"-";"-"
"32";"Twelve Monkeys (a.k.a. 12 Monkeys)";"1995";"114746";"63";"Mystery";"Sci-Fi";"Thriller";"-";"-"
"34";"Babe";"1995";"112431";"9598";"Children";"Drama";"-";"-";"-"
"36";"Dead Man Walking";"1995";"112818";"687";"Crime";"Drama";"-";"-";"-"
"38";"It Takes Two";"1995";"113442";"33689";"Children";"Comedy";"-";"-";"-"
"39";"Clueless";"1995";"112697";"9603";"Comedy";"Romance";"-";"-";"-"
"40";"Cry, the Beloved Country";"1995";"112749";"34615";"Drama";"-";"-";"-";"-"
"41";"Richard III";"1995";"114279";"31174";"Drama";"War";"-";"-";"-"
"42";"Dead Presidents";"1995";"112819";"11443";"Action";"Crime";"Drama";"-";"-"
"43";"Restoration";"1995";"114272";"35196";"Drama";"-";"-";"-";"-"
"44";"Mortal Kombat";"1995";"113855";"9312";"Action";"Adventure";"Fantasy";"-";"-"
"45";"To Die For";"1995";"114681";"577";"Comedy";"Drama";"Thriller";"-";"-"
"46";"How to Make an American Quilt";"1995";"113347";"11861";"Drama";"Romance";"-";"-";"-"
"47";"Seven (a.k.a. Se7en)";"1995";"114369";"807";"Mystery";"Thriller";"-";"-";"-"
"48";"Pocahontas";"1995";"114148";"10530";"Animation";"Children";"Drama";"Musical";"Romance"
"49";"When Night Is Falling";"1995";"114916";"8391";"Drama";"Romance";"-";"-";"-"
"50";"The Usual Suspects";"1995";"114814";"629";"Crime";"Mystery";"Thriller";"-";"-"
"52";"Mighty Aphrodite";"1995";"113819";"11448";"Comedy";"Drama";"Romance";"-";"-"
"53";"Lamerica";"1994";"110299";"49133";"Adventure";"Drama";"-";"-";"-"
"54";"The Big Green";"1995";"112499";"26441";"Children";"Comedy";"-";"-";"-"
"55";"Georgia";"1995";"113158";"97406";"Drama";"-";"-";"-";"-"
"57";"Home for the Holidays";"1995";"113321";"9089";"Drama";"-";"-";"-";"-"
"58";"The Postman (Postino, Il)";"1994";"110877";"11010";"Comedy";"Drama";"Romance";"-";"-"
"60";"The Indian in the Cupboard";"1995";"113419";"11359";"Adventure";"Children";"Fantasy";"-";"-"
